spoiled_identity,performance_ability,scheduling,count,mean,std,min,25%,50%,75%,max
False,False,False,32.0,0.33333333333333337,0.20194395759014055,0.03,0.20749999999999993,0.27999999999999997,0.4733333333333334,0.6566666666666667
False,False,True,13.0,0.6294871794871795,0.04699972722233992,0.5000000000000001,0.64,0.6500000000000001,0.6566666666666667,0.6600000000000001
False,True,False,11.0,0.01787878787878788,0.013188608491398699,0.003333333333333333,0.01,0.013333333333333332,0.024999999999999998,0.04666666666666666
False,True,True,6.0,0.6061111111111112,0.049504956729005845,0.5233333333333333,0.5850000000000001,0.6216666666666666,0.6333333333333333,0.6600000000000001
True,False,False,18.0,0.45500000000000007,0.16622785370209542,0.2699999999999999,0.3333333333333334,0.35333333333333344,0.6533333333333334,0.6566666666666667
True,False,True,8.0,0.6391666666666668,0.04241705257566055,0.5366666666666667,0.6458333333333334,0.6566666666666667,0.6600000000000001,0.6600000000000001
True,True,False,11.0,0.0906060606060606,0.18818913761200864,0.013333333333333332,0.024999999999999998,0.04,0.04666666666666666,0.6566666666666667
True,True,True,1.0,0.6600000000000001,,0.6600000000000001,0.6600000000000001,0.6600000000000001,0.6600000000000001,0.6600000000000001
